20240404 093800;5282.25;5282.25;5282.25;5282.25;14
20240404 093900;5282.25;5282.5;5282.25;5282.25;73
20240404 094000;5282.25;5282.25;5282;5282;31
20240404 094100;5282.25;5282.75;5282;5282.75;89
20240404 094200;5282.5;5282.5;5281.5;5282;155
20240404 094300;5282;5282.75;5282;5282.5;126
20240404 094400;5282.5;5282.75;5282.25;5282.5;59
20240404 094500;5282.75;5283.25;5282.75;5283.25;52
20240404 094600;5283.5;5283.5;5282.75;5283;148
20240404 094700;5282.75;5283.5;5282.75;5283.5;71
20240404 094800;5283.5;5283.5;5283;5283.25;76
20240404 094900;5283.25;5283.25;5282.5;5282.5;106
20240404 095000;5282.5;5282.5;5282;5282;142
20240404 095100;5282.25;5282.25;5281.5;5282;217
20240404 095200;5282;5282.5;5282;5282.5;105
20240404 095300;5282.5;5282.5;5282.25;5282.5;54
20240404 095400;5282.5;5283;5282.5;5282.75;70
20240404 095500;5282.75;5283.25;5282.5;5283.25;112
20240404 095600;5283;5283;5282.75;5282.75;79
20240404 095700;5282.75;5283;5282.75;5283;125
20240404 095800;5283;5283;5282.75;5282.75;70
20240404 095900;5282.75;5282.75;5282.25;5282.5;84
20240404 100000;5282.5;5282.5;5282.25;5282.25;68
20240404 100100;5282.5;5282.5;5282;5282.5;151
20240404 100200;5282.25;5282.25;5281.25;5281.25;278
20240404 100300;5281.5;5281.5;5281;5281;129
20240404 100400;5281;5281.25;5280.75;5281.25;125
20240404 100500;5281.5;5281.5;5280.25;5280.5;122
20240404 100600;5280.25;5280.75;5280;5280.5;79
20240404 100700;5280.75;5281;5280;5280.25;154
20240404 100800;5280.25;5280.75;5280;5280.5;123
20240404 100900;5280.75;5281.75;5280.75;5281.75;195
20240404 101000;5281.75;5281.75;5281.25;5281.5;133
20240404 101100;5281.75;5282.75;5281.5;5282.75;308
20240404 101200;5282.75;5283.25;5282.5;5283.25;113
20240404 101300;5283.25;5283.25;5282.5;5282.75;78
20240404 101400;5282.75;5283;5282.75;5283;69
20240404 101500;5283;5283.25;5283;5283.25;106
20240404 101600;5283.25;5283.5;5283;5283;160
20240404 101700;5283.25;5283.25;5282.5;5282.75;71
20240404 101800;5282.75;5283.25;5282.75;5282.75;121
20240404 101900;5282.5;5282.5;5282.25;5282.5;135
20240404 102000;5282.75;5282.75;5282.25;5282.25;81
20240404 102100;5282.25;5282.25;5282.25;5282.25;79
20240404 102200;5282.25;5282.75;5282.25;5282.75;121
20240404 102300;5282.5;5282.5;5281.75;5281.75;85
20240404 102400;5282;5282;5281.75;5282;35
20240404 102500;5282;5283.25;5282;5282.75;238
20240404 102600;5282.75;5282.75;5282.25;5282.75;177
20240404 102700;5282.75;5283;5282.5;5282.5;71
20240404 102800;5282.5;5282.75;5282.5;5282.5;70
20240404 102900;5282.5;5283.25;5282.5;5282.5;305
20240404 103000;5282.5;5282.5;5282.25;5282.25;36
20240404 103100;5282.25;5282.25;5281.5;5281.75;194
20240404 103200;5282;5282;5281.75;5281.75;135
20240404 103300;5281.75;5281.75;5281;5281.5;201
20240404 103400;5281.5;5281.75;5281.5;5281.75;91
20240404 103500;5281.75;5281.75;5281.25;5281.5;47
20240404 103600;5281.25;5281.75;5281.25;5281.5;127
20240404 103700;5281.5;5281.5;5280;5280.25;164
20240404 103800;5280.25;5280.25;5280;5280.25;284
20240404 103900;5280.5;5280.75;5280.25;5280.5;136
20240404 104000;5280.5;5280.75;5280.25;5280.25;90
20240404 104100;5280.25;5280.5;5280.25;5280.5;143
20240404 104200;5280.75;5281.25;5280.5;5281;178
20240404 104300;5281.25;5281.5;5281;5281.25;129
20240404 104400;5281.25;5281.5;5281;5281.5;116
20240404 104500;5281.5;5281.75;5281.5;5281.5;67
20240404 104600;5281.5;5282;5281.25;5282;207
20240404 104700;5282.25;5282.25;5281.75;5281.75;125
20240404 104800;5281.75;5282;5281.5;5281.75;205
20240404 104900;5281.75;5282.25;5281.75;5282;188
20240404 105000;5282;5282.25;5282;5282.25;80
20240404 105100;5282.5;5282.5;5282.25;5282.5;150
20240404 105200;5282.25;5282.25;5282;5282;67
20240404 105300;5282;5282.25;5282;5282.25;71
20240404 105400;5282.5;5283;5282.5;5282.75;132
20240404 105500;5282.75;5283.5;5282.75;5283.5;268
20240404 105600;5283.5;5284.25;5283.5;5283.75;238
20240404 105700;5283.75;5284.25;5283.75;5284.25;168
20240404 105800;5284.25;5285.5;5284;5284.75;574
20240404 105900;5285;5285.5;5285;5285.25;186
20240404 110000;5285.25;5285.5;5284.75;5285.5;208
20240404 110100;5285.5;5285.75;5285;5285.25;506
20240404 110200;5285.5;5285.5;5284.5;5284.75;294
20240404 110300;5284.75;5284.75;5284.5;5284.5;163
20240404 110400;5284.25;5284.25;5284;5284.25;166
20240404 110500;5284.25;5284.5;5284;5284.5;110
20240404 110600;5284.75;5285;5284;5284;249
20240404 110700;5284.25;5284.5;5284;5284.25;204
20240404 110800;5284.25;5284.25;5284;5284;147
20240404 110900;5284;5285;5284;5284.75;197
20240404 111000;5284.75;5285;5284.75;5285;123
20240404 111100;5285;5285;5284.5;5284.75;150
20240404 111200;5285;5285;5285;5285;56
20240404 111300;5285;5285;5284;5284;307
20240404 111400;5284.25;5284.5;5284;5284.25;186
20240404 111500;5284.25;5284.5;5284.25;5284.5;201
20240404 111600;5284.5;5284.5;5284;5284.25;111
20240404 111700;5284.5;5284.5;5284;5284;186
20240404 111800;5284;5284.25;5284;5284;98
20240404 111900;5284;5284.25;5283.5;5284;133
20240404 112000;5284;5284.25;5283.75;5284;429
20240404 112100;5284;5284.25;5283.5;5284.25;376
20240404 112200;5284.25;5284.5;5284.25;5284.5;131
20240404 112300;5284.5;5284.75;5283.75;5284;163
20240404 112400;5283.75;5283.75;5283.5;5283.5;111
20240404 112500;5283.5;5283.5;5283.25;5283.25;238
20240404 112600;5283.25;5283.75;5283.25;5283.75;67
20240404 112700;5283.75;5283.75;5283.25;5283.5;218
20240404 112800;5283.25;5283.5;5283;5283.5;213
20240404 112900;5283.5;5283.75;5283.5;5283.5;98
20240404 113000;5283.5;5283.75;5283.25;5283.5;144
20240404 113100;5283.5;5283.5;5283;5283;256
20240404 113200;5283.25;5283.5;5282.75;5283.5;229
20240404 113300;5283.5;5284;5283.25;5283.5;171
20240404 113400;5283.75;5283.75;5282.75;5282.75;461
20240404 113500;5282.75;5283.5;5282.75;5282.75;330
20240404 113600;5282.75;5283.25;5282.75;5282.75;324
20240404 113700;5282.75;5283;5282.75;5282.75;121
20240404 113800;5282.75;5283.75;5282.75;5283.25;454
20240404 113900;5283.25;5283.25;5283;5283;195
20240404 114000;5283;5283.25;5282.75;5283.25;99
20240404 114100;5283.25;5283.25;5282.25;5282.75;787
20240404 114200;5282.5;5283.25;5282.5;5283.25;189
20240404 114300;5283.5;5284;5283.5;5283.5;372
20240404 114400;5283.5;5283.5;5282.25;5282.25;265
20240404 114500;5282.5;5282.5;5281.75;5282;183
20240404 114600;5282;5282.5;5281.25;5282;307
20240404 114700;5282;5282.5;5282;5282.25;267
20240404 114800;5282;5282.5;5282;5282;174
20240404 114900;5282;5283.5;5281.75;5283.5;315
20240404 115000;5283.5;5283.5;5282;5282;182
20240404 115100;5282;5282.5;5281.75;5282.25;189
20240404 115200;5282;5282;5281.5;5282;173
20240404 115300;5282;5283.5;5282;5283.25;243
20240404 115400;5283.5;5283.75;5283;5283;78
20240404 115500;5283;5283;5282.75;5283;103
20240404 115600;5283;5283.25;5282.75;5282.75;120
20240404 115700;5282.75;5283.25;5282.75;5283.25;106
20240404 115800;5283.25;5283.5;5283;5283.25;92
20240404 115900;5283.25;5283.5;5282.5;5282.75;153
20240404 120000;5282.75;5283;5282.75;5283;94
20240404 120100;5283.25;5283.25;5282.25;5282.5;306
20240404 120200;5282.5;5282.5;5281;5281.25;506
20240404 120300;5281;5281.75;5280.75;5281.5;388
20240404 120400;5281.25;5282.25;5281.25;5282.25;211
