timestamp,open,high,low,close,volume
20240604 103800,5271.5,5271.5,5270.75,5271,255
20240604 103900,5271,5271.25,5270.25,5270.75,222
20240604 104000,5270.75,5270.75,5270.25,5270.5,143
20240604 104100,5270.25,5271,5270.25,5271,150
20240604 104200,5271,5271.5,5270.75,5271.25,169
20240604 104300,5271,5271.25,5270.25,5270.25,416
20240604 104400,5270.5,5270.5,5269.25,5269.75,357
20240604 104500,5269.5,5270.25,5268.5,5269.5,264
20240604 104600,5269.5,5270.25,5269.25,5269.75,291
20240604 104700,5269.75,5269.75,5268.25,5269.25,376
20240604 104800,5269.5,5271.25,5269.25,5270.5,158
20240604 104900,5270.5,5271,5269.75,5270,120
20240604 105000,5270,5270,5268.75,5269,165
20240604 105100,5269,5269,5268,5268.25,216
20240604 105200,5268.5,5269.75,5268.5,5269.75,178
20240604 105300,5270,5270.25,5269.5,5269.75,186
20240604 105400,5269.75,5270.25,5269.5,5269.5,176
20240604 105500,5269.5,5269.5,5267.5,5267.75,380
20240604 105600,5268,5268.25,5267.5,5267.5,291
20240604 105700,5267.5,5268.5,5267.5,5268.25,192
20240604 105800,5268.25,5269,5268,5269,191
20240604 105900,5269.25,5270,5269.25,5270,211
20240604 110000,5270.25,5270.75,5270,5270.5,295
20240604 110100,5270.5,5272.75,5270.25,5272.25,876
20240604 110200,5272.5,5272.5,5272,5272.5,249
20240604 110300,5272.5,5272.75,5272.25,5272.5,318
20240604 110400,5272.25,5272.75,5271.25,5272,265
20240604 110500,5271.75,5273,5271.5,5273,402
20240604 110600,5273,5273.25,5272,5272.5,426
20240604 110700,5272.5,5272.75,5272.5,5272.5,201
20240604 110800,5272.75,5273,5272,5272.5,258
20240604 110900,5272.25,5272.5,5271.75,5272.25,156
20240604 111000,5272.25,5272.75,5271.75,5272.5,185
20240604 111100,5272.5,5273.25,5272.25,5272.75,112
20240604 111200,5272.75,5272.75,5271.75,5271.75,282
20240604 111300,5271.75,5272.75,5271.5,5272.75,141
20240604 111400,5272.75,5273.25,5272.75,5273,170
